Token,TokenAddress,Address,Amount,Tx
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0002e2d21Fc83Ed279405b9CB62e8b2C20f00834,100,0x6065cc125f125614bb7c795047f7916b639dd51c6fe04bcc7226313b73abbc45
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x000990F6d1fe5538598F383dA477FCD2fDaA3A47,100,0x38bc007cf7ae475b3c02d0609e70c35a8350175843f7d1dfea0565cc1af635f6
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x000C69dF6f847EaC7eAbf4DBC24428DdA8aa17e9,100,0x5df3e507c1490b29ec8e71332a4272ce09d46702c16d3219b661c90f57b743f3
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0023c32d06deC4AEc197820D153014b4a60CED36,100,0x27835d4eceeb659b94802d17eaf4213e893c109ed945e42889ddb6662f4ff791
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0026b98D1aFB8d381797b7303d80B714CD5bdE94,100,0xcb792f851a04d715658e944c4c2e723f589e036a8a8fca4e7e9191efb8b6ba93
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x002716e12aC104C6541Be5775AFAbA23d115141A,100,0xe4f05c60190a22fa4b217f945fa54d289dd99e92aa1ab3a96e72c0b31dfd68b2
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x002a819194431E3e1bB58400690E6Cd7A874e145,100,0x3bf0efdeceb20003e0d8b6f89df14cbcbdc1d0bf97e9caebd75ff856d95d8e00
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x002d7b49576F9B2CF021EDc9b095F9DACA3dCFED,100,0x83799f5953b7d6bee16a1ec9c57d74f7a3227fa9765f14b1b38f81ff867e82a4
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x002f489f9133a0b1130326a8245fd3e286d7651d,100,0xc5631746ca341b761d8b8c5bef0baf0108ec761db3ac0e2ace34e8cbc5d9c20d
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0037530EaF00882dEac6C78Fd2c679b9045Da91e,100,0x20b2423d4a8ba0a644cf28c3c682584e390ce0df814d4b34a8fab8b3f710eb02
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00375C5D6A0DE28920fb48C0038A483EA904A8cF,100,0x6d331294a8a9bf893bf8b1fe16e9614259b8718d2d87a5148c689226abb96e60
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00385111519307a22c9e9279f49C1716d0e5cd09,100,0xc9a7ddbb6891c094d8483cf4de3680db926479f3027112a2e46d9d33afd00204
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x003ef1e21368bCeC43B4773adF729Ac99d543262,100,0xe85de0ded06cb78bbc175b2ecde13fd16ad8bcc7d013b3d0975503c1c0eb8ada
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00403a71A0203d6236077F764Fdd065B06bEC46F,100,0x9db94d3a99a2bcdda0693d210a7ff8837a10d8e874ea9e5465e5c04670f41767
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0048450a782b67c23d2d2818caa3b8083d1fb124,100,0x6c7cdcb752c5abe74a552d85cfd54557707884f4778a110d7b15ccec25f1d0f0
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x004c4e0c9e70730E53edB5f26Af25E05a6b6fb97,100,0x1464202526179395d38aba88fc1ebc3098f621d25226963bd6a6bcf4f873d95b
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x004fbb13c2502C553fEb21eE38fa704AdE69a595,100,0x7590a260b9cb5a393a9cf048cbd9955c56723029a0105762d4ecfb07a8d26311
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0053190f0CA28c2a2245440ad368A1b853849871,100,0x46fe7684761c7928b9a211bc0f0c0029640caf41bbdd1eca3b1e3b252892f29e
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x005579A3cCE7B4f83091f2D1910DebF32b66E256,100,0x4cd6a8dcfae3cb27b362ba5abd067381573f6e1f27c43092cb3ad51dd4d7e60a
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00563Be0aFe3Cf6d7e7c386905697c3ff31e1b25,100,0x87f1d42a77cd565219845e0bd42881a1af39f827a4539d0ee25a1b5e2cc5ab25
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0057c53160686A2b04263D01d06f68c2E3a92706,100,0x9e8adf853f2b31487afab80d900c2dfebff14541b3a672d79a80c58b14124706
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x005a36C1EAa64C5d0e580a80c58Ebd8EE3D8220B,100,0x99d90e4e27430657014b0a5e49d23ae3f06550adc92dfdd28a4dabff93a61779
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00678411b1999e6dd9c24Cc84110FBb0D2785950,100,0xcf48056f914e2569d8737f54c51fe4fcc79187b3eaedea71c914dc65f2ece4cf
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x007433DaAB9A6081553a932cB82679aA4E45A629,100,0xa9366df85e7900bf3b0c56e9fa2a9d8b6305f353596448ea01d9e0be3ea7a123
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x007d556b3cF8C1Eb89f6aAcf2E7d84b7f13B7bC9,100,0x0a9835ab5debb42a9bb255c16b6d739b29683616aebeaee559550b0b88430f51
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0084ee31db215F643bCd160419Fd13D61A61f2fc,100,0x203d743c3ea60bb03cf266ee04c2d9d4a626191107efb8aa9a8fb3bd11e1b4ca
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x008553F10B22be974205b93c8B3439a529033C72,100,0xd82f0ab25e799e04a6837d43ace6339859dc4cb621032905f83d1564fc3d11a5
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0087Aca139037E8e0007AD0Dd4a81346d52eAa2e,100,0x60080177f529aff0256704ccde60086d1b9d14ac6c28a50bd90d29084dced746
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x008A6C8aaf400C21A932302258A666cAB4892c37,100,0xff351b39ed352c1b1abfae9cb629ad9a1d1185cf9a5e1e54f48522e5823245c3
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00925f467418F4134F81403140aA73F8865287Ea,100,0x0e942bd91872dbb722b3aeb3c04d76339fd17ede2df8e4b3783e19fde54e5966
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x0096cC6F873daB382006d0bce6E8Df4792D0AE88,100,0x3d2482badfbd726ba39a4827945568faca353ece63e3ba1a49616f8abd8bb2a5
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x009C7d02F6Eeac862e944acC9cc21d2c9087D1B0,100,0xfa671f5ba3f4ed9ef3b368f5e1c8dac2cda2584c31efd34ba7b82818d7401926
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00a601Fc817dBF7E03B95152E8Edd1EE724E2e9b,100,0xea93337d48ba24f2fee8a7b55fce57724255c97b931407e1257114da9778e102
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00A98563C2c168412Bc252Fa4b0E299895DA9524,100,0xf3fb0163108a4b8b7aa98b38605376a5e1d564cf11d5acd2185b20047c823939
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00Aeea6691050f4bf41436deD26BDF243d1f0413,100,0x4cf168927a7db2011eed57e92705793325a0e4d059d9abe6c7b363407337ce39
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00c108EC58E48EF43157C11533551D585075E2C4,100,0xc789ddc581dcf1783fcd6cc2c2d3a96cccb1e3a097452a584bac61fb1e12bfc8
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00c3e1ecf819E9B7fA0A7329e9d0505339d2e9CC,100,0x5d02a45cc87186f1885df29f0b1dd198b2a3135a50b6177767002fe97ef64ad4
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00c5e1FC8142B05Cbaa39E929133e1aAe6F1DdDF,100,0x09b9281acd3ece8042c01174589d0f8c43ec5f5152a67b8677b8902f9589e743
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00c70c4b255EA4361861bb88A8Ff1720DAAa5d63,100,0x53abe340050d18bd4159d8d0b3d0e4d41ba87c9adbf9caac1d5e4f61a8cd345b
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00CdEBED4967428DB49A5A0787f50ddD1D812afA,100,0x15bb0dd38eb941bebac273a502d28bd3bdc8d97644194503c61d0cc212f9125a
tDAO,0x4EaafA85bDBe9B02930926C594F83e62B036B1be,0x00D20E79A078bF197C5D43ad75867Ba5459806B2,100,0x465007aecd5fbc95fb0f9167cec1ad42dd36301ae227736ee84a632a5e73dba7
